기상상태,노면상태,사고유형,사고유형 - 세부분류,법규위반,가해운전자 차종,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 연령,피해운전자 상해정도,ECLO,시간,도로형태1,도로형태2
맑음,건조,차대사람,횡단중,신호위반,원동기,20세,상해없음,보행자,22세,경상,3,18,단일로,기타
맑음,건조,차대차,측면충돌,중앙선침범,이륜,23세,중상,승합,54세,경상,8,19,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,승용,52세,상해없음,승용,22세,경상,6,20,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,38세,상해없음,보행자,38세,경상,3,21,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,58세,상해없음,승용,59세,경상,3,4,교차로,교차로안
흐림,건조,차대차,측면충돌,신호위반,승용,45세,상해없음,승용,64세,경상,3,4,교차로,교차로안
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,53세,부상신고,승용,51세,중상,6,10,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,57세,상해없음,승용,31세,경상,9,12,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,71세,상해없음,이륜,29세,경상,3,12,교차로,교차로안
맑음,건조,차대차,기타,중앙선침범,자전거,41세,상해없음,이륜,63세,중상,5,12,단일로,기타
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,46세,부상신고,승용,38세,중상,6,13,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,28세,상해없음,이륜,27세,경상,3,16,단일로,기타
맑음,건조,차대사람,보도통행중,보행자보호의무위반,화물,64세,상해없음,보행자,55세,중상,5,16,단일로,기타
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,45세,상해없음,자전거,62세,경상,3,16,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,이륜,20세,부상신고,승용,42세,상해없음,7,17,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,61세,상해없음,보행자,70세,경상,3,18,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,안전거리미확보,화물,65세,상해없음,승용,52세,경상,3,19,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,승용,28세,상해없음,승용,54세,상해없음,3,21,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,69세,상해없음,승용,55세,경상,6,21,교차로,교차로안
맑음,건조,차대차,정면충돌,신호위반,승용,45세,상해없음,승용,62세,중상,5,22,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,이륜,76세,경상,승용,48세,상해없음,3,8,교차로,교차로안
맑음,건조,차대차,측면충돌,보행자보호의무위반,승용,70세,상해없음,승용,60세,상해없음,5,12,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,안전거리미확보,승용,58세,상해없음,승용,24세,경상,3,13,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,54세,상해없음,승용,54세,경상,3,15,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,31세,상해없음,승용,63세,경상,6,16,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,승용,26세,부상신고,승용,57세,중상,6,17,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,29세,상해없음,이륜,38세,중상,5,18,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,승용,69세,상해없음,이륜,17세,경상,3,19,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,이륜,17세,경상,승용,51세,상해없음,3,21,교차로,교차로부근
맑음,건조,차대차,정면충돌,교차로운행방법위반,승용,45세,상해없음,자전거,65세,경상,3,23,교차로,교차로안
맑음,건조,차대차,추돌,중앙선침범,승용,43세,상해없음,승용,55세,경상,6,7,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승합,46세,상해없음,승용,40세,경상,13,8,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,화물,54세,상해없음,승용,34세,경상,3,10,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,61세,상해없음,승용,42세,경상,3,14,단일로,기타
맑음,건조,차대사람,기타,보행자보호의무위반,승합,60세,상해없음,보행자,78세,중상,5,15,단일로,기타
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,42세,상해없음,화물,45세,중상,10,17,교차로,교차로부근
맑음,건조,차대차,측면충돌,신호위반,승용,25세,상해없음,승합,51세,경상,6,18,교차로,교차로안
맑음,건조,차대차,기타,직진우회전진행방해,화물,35세,상해없음,자전거,56세,중상,5,18,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,51세,상해없음,승용,29세,경상,3,19,교차로,교차로부근
맑음,건조,차대차,정면충돌,신호위반,승용,50세,상해없음,승용,32세,중상,5,20,교차로,교차로안
맑음,건조,차대차,측면충돌,중앙선침범,승용,37세,상해없음,기타불명,75세,중상,5,8,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,51세,상해없음,보행자,20세,경상,3,9,단일로,기타
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,55세,상해없음,승용,33세,경상,3,10,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,53세,중상,건설기계,50세,상해없음,5,10,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,화물,71세,상해없음,원동기,42세,중상,8,10,단일로,기타
맑음,건조,차대사람,횡단중,신호위반,화물,63세,상해없음,보행자,67세,중상,5,12,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,신호위반,이륜,72세,중상,승용,70세,상해없음,5,13,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,26세,상해없음,승용,33세,경상,3,15,단일로,기타
맑음,건조,차대차,기타,교차로운행방법위반,승용,60세,상해없음,승용,51세,중상,8,15,교차로,교차로안
기타,건조,차대차,측면충돌,안전거리미확보,승용,44세,상해없음,승용,38세,경상,11,21,교차로,교차로안
맑음,건조,차대차,측면충돌,중앙선침범,자전거,34세,부상신고,승용,70세,상해없음,1,9,단일로,기타
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,37세,부상신고,승용,49세,경상,4,9,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,화물,38세,상해없음,보행자,55세,경상,3,11,교차로,교차로부근
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,62세,경상,화물,32세,경상,11,11,교차로,교차로안
맑음,건조,차대차,기타,교차로운행방법위반,화물,55세,상해없음,원동기,22세,중상,5,15,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,58세,상해없음,승합,47세,경상,3,16,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,승용,57세,상해없음,승용,29세,경상,6,18,단일로,기타
맑음,건조,차대차,정면충돌,직진우회전진행방해,승용,23세,상해없음,이륜,50세,경상,3,19,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,승용,57세,상해없음,승용,51세,경상,3,20,교차로,교차로부근
맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,48세,경상,승용,27세,중상,11,21,교차로,교차로부근
맑음,건조,차대차,기타,안전거리미확보,승용,49세,상해없음,이륜,37세,경상,3,21,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,45세,상해없음,이륜,19세,중상,5,21,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,30세,상해없음,이륜,48세,경상,3,21,교차로,교차로안
맑음,건조,차대사람,횡단중,신호위반,승용,66세,상해없음,보행자,26세,경상,3,7,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,승용,23세,기타불명,승용,60세,경상,3,10,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,31세,상해없음,승용,34세,경상,3,12,교차로,교차로부근
맑음,건조,차대차,추돌,안전거리미확보,승용,19세,부상신고,승용,57세,상해없음,7,15,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,승용,49세,상해없음,승용,64세,경상,3,15,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,화물,70세,상해없음,보행자,73세,중상,5,15,교차로,교차로부근
맑음,건조,차대차,기타,신호위반,승용,65세,상해없음,승용,57세,중상,5,16,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,승용,27세,상해없음,승용,26세,경상,3,16,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,63세,상해없음,보행자,29세,중상,8,19,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,69세,상해없음,승용,48세,경상,3,19,단일로,기타
맑음,건조,차대사람,기타,보행자보호의무위반,화물,69세,상해없음,보행자,24세,경상,3,20,교차로,교차로안
맑음,건조,차대차,기타,신호위반,승용,78세,경상,승용,45세,경상,6,21,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,승용,35세,상해없음,승용,52세,경상,3,21,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,51세,상해없음,보행자,40세,경상,3,21,기타,기타
맑음,건조,차대사람,횡단중,안전거리미확보,승용,65세,상해없음,보행자,61세,중상,5,0,단일로,기타
맑음,건조,차대차,기타,신호위반,승용,25세,상해없음,승용,55세,경상,3,8,단일로,기타
맑음,건조,차대차,기타,신호위반,화물,68세,상해없음,승용,57세,경상,3,9,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,화물,43세,상해없음,보행자,26세,경상,3,12,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,안전거리미확보,승용,58세,상해없음,이륜,18세,경상,3,14,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,57세,상해없음,이륜,42세,경상,3,15,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,이륜,52세,경상,승용,46세,상해없음,3,17,교차로,교차로부근
맑음,건조,차대차,기타,교차로운행방법위반,승용,26세,경상,승용,51세,경상,6,17,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,53세,상해없음,보행자,45세,경상,3,18,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,43세,상해없음,승용,51세,경상,3,19,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,29세,상해없음,승용,29세,경상,3,20,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승합,68세,상해없음,승용,51세,경상,6,0,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,승용,64세,상해없음,이륜,26세,경상,3,1,교차로,교차로부근
맑음,건조,차대사람,기타,보행자보호의무위반,승용,58세,상해없음,보행자,34세,경상,3,1,교차로,교차로횡단보도내
맑음,건조,차대차,기타,안전거리미확보,승용,36세,상해없음,승용,35세,경상,3,2,단일로,기타
비,젖음/습기,차대차,측면충돌,교차로운행방법위반,승용,49세,경상,승용,30세,경상,12,2,교차로,교차로안
비,젖음/습기,차대차,측면충돌,신호위반,승용,20세,중상,승합,38세,중상,40,5,교차로,교차로안
비,젖음/습기,차대차,측면충돌,신호위반,승용,25세,상해없음,승용,44세,중상,5,7,교차로,교차로안
비,젖음/습기,차대사람,횡단중,신호위반,화물,56세,상해없음,보행자,50세,경상,3,7,교차로,교차로횡단보도내
비,젖음/습기,차대차,기타,안전거리미확보,승용,61세,경상,승용,35세,경상,9,8,단일로,기타
비,젖음/습기,차대차,측면충돌,신호위반,이륜,47세,중상,승용,54세,상해없음,5,10,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,59세,경상,승용,57세,경상,6,11,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,70세,상해없음,보행자,9세,경상,3,13,교차로,교차로횡단보도내
맑음,건조,차대차,기타,직진우회전진행방해,원동기,22세,경상,승용,56세,상해없음,3,13,교차로,교차로부근
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,48세,상해없음,자전거,59세,중상,5,15,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,승용,54세,상해없음,이륜,20세,중상,8,19,단일로,기타
맑음,건조,차대차,측면충돌,중앙선침범,이륜,22세,부상신고,승용,62세,경상,4,22,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,24세,경상,승용,62세,경상,6,1,교차로,교차로안
흐림,건조,차대사람,횡단중,보행자보호의무위반,승용,63세,상해없음,보행자,74세,중상,5,6,교차로,교차로횡단보도내
맑음,건조,차대차,추돌,안전거리미확보,승용,46세,상해없음,화물,53세,경상,3,8,교차로,교차로안
맑음,건조,차대차,기타,직진우회전진행방해,승용,31세,부상신고,승용,53세,경상,4,13,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,승용,24세,상해없음,승합,47세,경상,3,15,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,44세,상해없음,이륜,18세,상해없음,1,17,단일로,기타
맑음,건조,차대차,추돌,안전거리미확보,승용,67세,상해없음,승용,22세,경상,9,18,교차로,교차로부근
맑음,건조,차대차,기타,신호위반,승용,59세,상해없음,이륜,34세,경상,3,23,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,74세,경상,승용,63세,경상,9,6,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,62세,상해없음,이륜,26세,중상,5,8,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,55세,상해없음,승용,50세,경상,3,8,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,화물,50세,기타불명,승용,53세,경상,3,9,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,62세,상해없음,승용,31세,경상,3,10,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,자전거,73세,경상,이륜,56세,상해없음,3,11,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,67세,상해없음,승용,63세,경상,3,12,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,30세,상해없음,승용,19세,경상,6,13,단일로,기타
맑음,건조,차대사람,차도통행중,중앙선침범,승용,25세,상해없음,보행자,31세,경상,3,14,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,61세,상해없음,이륜,18세,경상,3,14,단일로,기타
맑음,건조,차대차,추돌,안전거리미확보,승용,39세,상해없음,승용,27세,경상,3,14,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,65세,상해없음,이륜,64세,경상,6,16,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,59세,상해없음,이륜,17세,경상,3,16,단일로,기타
맑음,건조,차대차,정면충돌,중앙선침범,이륜,63세,상해없음,승용,59세,경상,3,16,단일로,기타
맑음,건조,차대사람,차도통행중,보행자보호의무위반,승용,35세,상해없음,보행자,20세,경상,6,19,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,48세,상해없음,승용,49세,중상,13,2,교차로,교차로안
맑음,건조,차대차,기타,교차로운행방법위반,승용,58세,상해없음,이륜,20세,경상,3,11,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,79세,상해없음,이륜,26세,경상,3,12,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,39세,상해없음,화물,38세,경상,3,15,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,55세,상해없음,이륜,19세,중상,8,17,교차로,교차로부근
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,37세,상해없음,보행자,46세,경상,3,17,단일로,터널
맑음,건조,차대차,정면충돌,교차로운행방법위반,승용,52세,중상,승용,48세,경상,8,18,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,화물,42세,상해없음,승용,34세,경상,3,18,교차로,교차로부근
맑음,건조,차대사람,보도통행중,신호위반,이륜,23세,상해없음,보행자,17세,중상,5,21,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,화물,72세,상해없음,승용,32세,경상,3,22,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,26세,상해없음,이륜,28세,경상,3,22,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,68세,상해없음,자전거,65세,중상,5,6,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,이륜,56세,중상,승용,58세,상해없음,5,6,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,60세,상해없음,화물,57세,경상,6,10,교차로,교차로부근
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,55세,상해없음,승용,45세,경상,3,10,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,화물,44세,상해없음,보행자,84세,경상,3,12,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,44세,상해없음,승용,63세,경상,3,12,교차로,교차로안
맑음,건조,차대사람,기타,보행자보호의무위반,승용,54세,상해없음,보행자,41세,중상,5,13,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,신호위반,승용,70세,상해없음,원동기,46세,경상,3,14,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,화물,57세,상해없음,승용,54세,경상,3,14,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,26세,상해없음,원동기,40세,중상,5,19,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,42세,상해없음,이륜,23세,경상,3,19,단일로,기타
맑음,건조,차대사람,횡단중,신호위반,이륜,17세,상해없음,보행자,13세,중상,5,22,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,35세,상해없음,이륜,31세,경상,3,22,교차로,교차로안
맑음,건조,차대차,측면충돌,직진우회전진행방해,이륜,58세,중상,승용,62세,상해없음,5,23,교차로,교차로안
맑음,건조,차대차,정면충돌,중앙선침범,승용,47세,상해없음,화물,49세,경상,9,0,단일로,고가도로위
맑음,건조,차대차,측면충돌,신호위반,승용,55세,상해없음,승용,60세,경상,11,0,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,50세,경상,승용,65세,경상,9,3,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,64세,상해없음,승용,48세,경상,3,7,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,75세,상해없음,승용,34세,경상,6,9,교차로,교차로부근
맑음,건조,차대차,기타,신호위반,건설기계,66세,상해없음,화물,58세,경상,3,9,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,52세,상해없음,승용,26세,경상,3,10,교차로,교차로안
맑음,건조,차대차,기타,교차로운행방법위반,승용,29세,부상신고,승용,39세,경상,4,12,교차로,교차로안
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,31세,상해없음,보행자,66세,중상,5,13,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,66세,상해없음,원동기,17세,경상,6,14,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,이륜,44세,경상,이륜,29세,중상,8,18,교차로,교차로부근
맑음,건조,차대차,측면충돌,직진우회전진행방해,이륜,20세,부상신고,승용,28세,상해없음,1,19,교차로,교차로안
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,23세,상해없음,승용,35세,경상,6,20,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,승용,49세,상해없음,승용,29세,경상,8,22,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,46세,상해없음,승용,26세,경상,6,0,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,승용,40세,상해없음,이륜,19세,경상,6,4,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,40세,상해없음,승용,24세,경상,3,9,단일로,기타
맑음,건조,차대차,기타,신호위반,승용,78세,상해없음,이륜,59세,중상,5,10,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,63세,상해없음,승용,47세,상해없음,3,14,교차로,교차로횡단보도내
맑음,건조,차대차,추돌,안전거리미확보,승용,34세,중상,승용,27세,상해없음,8,14,단일로,기타
맑음,건조,차대차,측면충돌,직진우회전진행방해,이륜,24세,경상,승용,39세,경상,9,14,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,화물,54세,상해없음,승용,37세,경상,3,14,교차로,교차로안
맑음,건조,차대차,기타,안전거리미확보,승용,54세,상해없음,승합,48세,상해없음,3,15,교차로,교차로부근
맑음,건조,차대차,측면충돌,신호위반,승용,69세,상해없음,승용,64세,중상,10,15,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,화물,57세,상해없음,승용,36세,경상,3,17,교차로,교차로부근
맑음,건조,차대차,측면충돌,안전거리미확보,승용,46세,기타불명,승용,28세,경상,9,17,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,61세,상해없음,원동기,16세,경상,3,19,단일로,기타
맑음,건조,차대사람,기타,보행자보호의무위반,승용,56세,상해없음,보행자,18세,경상,3,22,기타,기타
맑음,건조,차대차,추돌,안전거리미확보,승용,67세,상해없음,승용,51세,경상,3,23,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,50세,상해없음,이륜,53세,중상,5,0,단일로,기타
맑음,건조,차대사람,횡단중,신호위반,승용,52세,상해없음,보행자,38세,경상,3,6,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,승용,55세,상해없음,승용,57세,경상,6,7,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,51세,상해없음,이륜,32세,중상,5,10,기타,기타
맑음,건조,차대차,기타,안전거리미확보,승용,52세,상해없음,승용,35세,경상,6,10,단일로,기타
맑음,건조,차대차,추돌,안전거리미확보,화물,53세,상해없음,승용,60세,경상,3,11,교차로,교차로안
맑음,건조,차대차,기타,교차로운행방법위반,승용,36세,상해없음,이륜,19세,중상,5,12,교차로,교차로안
맑음,건조,차대차,기타,신호위반,승용,79세,상해없음,승용,38세,경상,9,13,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,이륜,53세,부상신고,승용,26세,경상,4,14,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,19세,상해없음,승용,64세,경상,3,17,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,19세,상해없음,승용,36세,경상,3,19,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,37세,중상,승용,61세,경상,13,0,교차로,교차로안
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,28세,경상,승용,27세,경상,12,1,교차로,교차로안
